datetime,requests,emissions
2022-01-20 16:00:00,3957,1605357.9710912488
2022-01-20 17:00:00,3370,1415627.2088069639
2022-01-20 18:00:00,2746,1116015.036553069
2022-01-20 19:00:00,2329,941895.2432345022
2022-01-20 20:00:00,2033,827042.1720153332
2022-01-20 21:00:00,1883,687552.6927934191
2022-01-20 22:00:00,1879,549105.0359817632
2022-01-20 23:00:00,2119,599728.1712250988
2022-01-21 00:00:00,2368,765615.2109446208
2022-01-21 01:00:00,2766,892524.7914627995
2022-01-21 02:00:00,3061,1154387.3511878331
2022-01-21 03:00:00,3209,1234063.3644025791
2022-01-21 04:00:00,3312,1262909.2501017223
2022-01-21 05:00:00,3489,1337102.2278026638
2022-01-21 06:00:00,3565,1385538.6287022633
2022-01-21 07:00:00,3653,1438627.7546220364
2022-01-21 08:00:00,3795,1497119.884545166
2022-01-21 09:00:00,3964,1569548.4240802662
2022-01-21 10:00:00,4250,1691318.586772868
2022-01-21 11:00:00,4489,1775322.531514211
2022-01-21 12:00:00,4720,1872489.7459262318
2022-01-21 13:00:00,4784,1893167.8673829976
2022-01-21 14:00:00,4701,1845564.780919963
2022-01-21 15:00:00,4395,1738417.6715751486
2022-01-21 16:00:00,3957,1614613.5624013704
2022-01-21 17:00:00,3370,1363270.3269234698
2022-01-21 18:00:00,2746,1109490.6097925575
2022-01-21 19:00:00,2329,902041.5285594176
2022-01-21 20:00:00,2033,827142.2830358219
2022-01-21 21:00:00,1883,763355.0290780233
2022-01-21 22:00:00,1879,640314.1160807002
2022-01-21 23:00:00,2119,712682.6280571176
2022-01-22 00:00:00,2368,779491.4946069472
2022-01-22 01:00:00,2766,929504.7584796542
2022-01-22 02:00:00,3061,1033838.7742011476
2022-01-22 03:00:00,3209,1288185.4847548206
2022-01-22 04:00:00,3312,1339195.9159200285
2022-01-22 05:00:00,3489,1401745.2999225908
2022-01-22 06:00:00,3565,1429733.667875649
2022-01-22 07:00:00,3653,1409261.5803386408
2022-01-22 08:00:00,3795,1463949.183714451
2022-01-22 09:00:00,3964,1559202.8635704382
2022-01-22 10:00:00,4250,1673843.476888031
2022-01-22 11:00:00,4489,1767972.5581571741
2022-01-22 12:00:00,4720,1868422.2740657525
